Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",163.068000,-58.928000,-90.000000,top
"C2","10uF","C_0805_2012Metric",178.842500,-65.199500,0.000000,top
"C3","100nF","C_0805_2012Metric",178.842500,-63.167500,0.000000,top
"C4","100nF","C_0805_2012Metric",178.908500,-61.135500,0.000000,top
"D1","D_Schottky","TO-220-2_Vertical",156.210000,-59.436000,180.000000,top
"J1","PWR","AMASS_XT60-M_1x02_P7.20mm_Vertical",166.565500,-53.404500,0.000000,top
"J2","Resistor","AMASS_XT60-M_1x02_P7.20mm_Vertical",149.816000,-53.274000,0.000000,top
"Q1","STP110N8F6","TO-220-3_Vertical",139.446000,-60.706000,0.000000,top
"R1","2.2m","R_0805_2012Metric",152.908000,-71.882000,0.000000,top
"R2","100k","R_0805_2012Metric",146.558000,-71.374000,0.000000,top
"R3","10k","R_0805_2012Metric",146.558000,-69.342000,0.000000,top
"R4","10k","R_0805_2012Metric",152.908000,-64.262000,180.000000,top
"R5","10k","R_0805_2012Metric",135.382000,-67.818000,0.000000,top
"R6","10","R_0805_2012Metric",135.024500,-59.944000,0.000000,top
"U1","L7812","Converter_DCDC_RECOM_R-78E-0.5_THT",168.240500,-64.945500,0.000000,top
"U2","LM393","SOIC-8_3.9x4.9mm_P1.27mm",153.162000,-68.072000,0.000000,top
"U3","TL431D","SOIC-8_3.9x4.9mm_P1.27mm",140.970000,-69.850000,0.000000,top
"U4","TC4427xOA","SOIC-8_3.9x4.9mm_P1.27mm",129.479000,-57.978000,0.000000,top
