Designator,Mid X,Mid Y,Rotation,Layer
C1,218.948,-24.13,180,Top
C2,150.622,-56.388,180,Top
C3,152.654,-43.434,180,Top
C4,149.86,-44.262,90,Top
C5,197.612,-64.77,0,Top
C6,194.564,-59.37,90,Top
C7,146.812,-56.896,0,Top
C8,162.052,-38.608,180,Top
C9,178.562,-38.862,90,Top
C10,178.496,-55.372,0,Top
C11,165.1,-57.658,270,Top
C12,150.622,-52.07,180,Top
C13,150.876,-41.402,180,Top
C14,165.1,-34.29,0,Top
C15,150.622,-46.99,0,Top
C16,177.226,-57.404,180,Top
C17,180.594,-40.64,270,Top
D1,210.058,-24.13,0,Top
D2,209.93,-26.67,180,Top
D3,182.751,-62.23,0,Top
D4,182.88,-59.944,0,Top
F1,214.7335,-24.384,180,Top
FB1,150.622,-58.42,180,Top
IC1,100.33,-86.36,0,Top
J1,181.65,-71.12,0,Top
J2,226.1145,-28.245,90,Top
J3,150.114,-62.484,270,Top
J4,202.692,-48.514,180,Top
J5,182.72,-26.67,180,Top
J6,153.87,-25.4,0,Top
J7,130.81,-41.95,270,Top
J8,198.12,-40.052,90,Top
J9,130.81,-50.84,270,Top
J10,175.888,-32.766,0,Top
J11,163.95,-71.12,0,Top
J12,209.55,-38.38,270,Top
J13,111.52,-74.93,180,Top
R1,218.948,-22.098,0,Top
R2,215.2415,-26.67,180,Top
R3,215.138,-32.766,180,Top
R4,167.894,-35.052,270,Top
R5,215.2415,-28.702,0,Top
R6,215.138,-30.734,0,Top
R7,157.226,-32.766,0,Top
R8,162.052,-30.48,0,Top
R9,186.436,-62.23,180,Top
R10,186.436,-60.198,180,Top
R11,150.622,-54.102,180,Top
R12,150.622,-49.022,0,Top
R13,183.134,-47.498,180,Top
R14,183.134,-43.434,0,Top
R15,183.134,-45.368,0,Top
SW1,166.956,-31.496,0,Top
SW2,146.304,-43.18,0,Top
U1,205.74,-30.48,0,Top
U2,200.152,-60.198,0,Top
U3,170.18,-46.99,0,Top
Y1,146.558,-48.006,270,Top
